word	phon	N.syl	freq.orth
goodbye	"gUd-'b2	2	2
goodies	'gU-dIz	2	1
goodness	'gUd-nIs	2	12
goose	'gus	1	1
gorgeous	'g$-_@s	2	4
gosh	'gQS	1	1
got	'gQt	1	219
gotta	'gQ-t@	2	1
gou	'g6	1	0
gown	'g6n	1	2
grab	'gr{b	1	9
gracious	'gr1-S@s	2	2
granddad	'gr{n-d{d	2	4
grandma	'gr{n-m#	2	2
grease	'griz	1	1
great	'gr1t	1	5
greedy	'gri-dI	2	5
grip	'grIp	1	1
grotty	'grQ-tI	2	1
grow	'gr5	1	1
grown	'gr5n	1	1
growth	'gr5T	1	1
grub	'grVb	1	2
grubby	'grV-bI	2	1
grumpy	'grVm-pI	2	3
grunt	'grVnt	1	1
grunting	'grVn-tIN	2	4
gums	'gVmz	1	1
guts	'gVts	1	4
guy	'g2	1	1
ha	'h#	1	0
had	'h{d	1	55
hadn't	'h{-dHt	2	3
hair	'h8R	1	27
half	'h#f	1	12
hand	'h{nd	1	26
handies	'h{n-dIz	2	5
hands	'h{ndz	1	39
handy	'h{n-dI	2	1
hang	'h{N	1	4
hanging	'h{-NIN	2	1
hanky	'h{N-kI	2	0
hannah	'h{-n@	2	165
hannah's	'h{-n@z	2	10
happen	'h{-p@n	2	2
happened	'h{-p@nd	2	9
happening	'h{-p@-nIN	3	3
happy	'h{-pI	2	28
hard	'h#d	1	17
has	'h{z	1	32
hasn't	'h{-zHt	2	13
hassles	'h{-sPz	2	1
hat	'h{t	1	1
have	'h{v	1	412
haven't	'h{-vHt	2	53
having	'h{-vIN	2	37
hay	'h1	1	1
he	'hi	1	131
he'll	'hil	1	3
he's	'hiz	1	46
head	'hEd	1	26
heads	'hEdz	1	2
heady	'hE-dI	2	0
health	'hElT	1	1
hear	'h7R	1	16
heavens	'hE-vHz	2	2
heavily	'hE-vI-lI	3	1
heavy	'hE-vI	2	3
heehee	'hi-'hi	2	4
hello	h@-'l5	2	529
help	'hElp	1	6
helping	'hEl-pIN	2	2
helps	'hElps	1	1
her	h3R	1	39
here	'h7R	1	186
here's	'h7z	1	9
hey	'h1	1	739
hey-ya	'h1-'jQ	2	0
hi	'h2	1	4
hiccup	'hI-kVp	2	0
hiccups	'hI-kVps	2	10
hick	'hIk	1	1
hickies	'hI-kIz	2	4
hidden	'hI-dH	2	1
hide	'h2d	1	3
hiding	'h2-dIN	2	10
high	'h2	1	2
hilda	'hIl-d@	2	2
him	hIm	1	82
his	hIz	1	14
hit	'hIt	1	7
hmm	'hF	1	0
hmm-hmm	'hF-'hF	2	0
ho	'h5	1	30
hoi	'b4	1	0
hold	'h5ld	1	80
holding	'h5l-dIN	2	15
hole	'h5l	1	1
holes	'h5lz	1	1
home	'h5m	1	8
honest	'Q-nIst	2	1
hop	'hQp	1	8
hope	'h5p	1	3
hopeless	'h5p-lIs	2	1
hoping	'h5-pIN	2	1
horny	'h$-nI	2	2
horrible	'hQ-r@-bP	3	1
horror	'hQ-r@R	2	1
hot	'hQt	1	8
hour	'6-@R	2	2
house	'h6s	1	8
how	'h6	1	27
how'd	'h6d	1	1
how's	'h6z	1	3
huge	'hju_	1	1
huh	'hV	1	17
hungry	'hVN-grI	2	27
hurry	'hV-rI	2	5
hurt	'h3t	1	7
i	'2	1	345
i'd	'2d	1	2
i'll	'2l	1	18
i'm	'2m	1	52
i've	'2v	1	19
ideas	2-'d7z	2	1
if	If	1	38
in	'In	1	236
in't	'Int	1	0
indian	'In-dj@n	2	1
inside	"In-'s2d	2	4
inspect	In-'spEkt	2	1
instead	In-'stEd	2	0
insult	In-'sVlt	2	2
interest	'In-tr@st	2	5
interested	'In-tr@-stId	3	21
interesting	'In-tr@-stIN	3	6
into	'In-tu	2	8
iray	'2-r1	2	1
iron	'2-@n	2	3
